estimate,se,maximum_log_likelihood
-1.3481518778472814,0.19586223587981497,-866.9070971432925
-0.2569813387223371,0.09586412098607729,-866.9070971432925
1.0706903047365557,0.1829861393579687,-866.9070971432925
0.43200795197303077,0.25466335629858466,-866.9070971432925
-1.1058830050524717,0.5436398247316597,-866.9070971432925
1.679398943749145,0.20990928032103173,-866.9070971432925
-0.02233168448128272,0.132847990474901,-866.9070971432925
1.6783733718600302,0.27651867610620945,-866.9070971432925
0.10129520579571187,0.2260652972416181,-866.9070971432925
-1.1015857177107136,0.4691795717768452,-866.9070971432925
